,allergens,calories,caloriesFromFat,cholesterol(mg),dateRef,dietaryFiber(g),ingredients,itemID,menuDate,name,price($),protein(g),saturatedFat(g),servingSize,sodium(mg),station,sugars(g),mealType,totalCarbohydrate(g),totalFat(g),transFat(g)
0,"Milk, Eggs, Wheat, Soybeans, Gluten",571,,227.5,0,227.5,"Iceberg Lettuce, Blue Cheese Dressing (Soybean Oil, Water, Distilled Vinegar, Blue Cheese (milk, cheese cultures, salt, enzymes), Salt, Sugar, Egg Yolk, Xantham Gum, Buttermilk Powder, Potassium Sorbate and Sodium Benzoate (preservatives), Lemon Juice Concentrate, Propylene, Glycol Alginate, Dehydrated Garlic, Calcium Disodium EDTA (protect flavor).), Tomatoes, Hardboiled Eggs, Avocado, Blue Cheese (Blue Cheese (pasteurized milk, cheese cultures, salt, enzymes), Powdered Cellulose (to prevent caking), Natamycin (mold inhibitor).), Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.))",16085316,2018-10-13T00:00:00-07:00,3rd Kitchen House Salad,6.50,17.5,11.7,1 EA,1082.7,40/40/20,6.5,DINNER,23.1,432,0.8
1,"Milk, Wheat, Soybeans, Gluten",223,,0.4,0,0.4,"Romaine Lettuce, Artichoke (Quartered Artichoke Heats, Salt, Water, Citric Acid.), Tomatoes, Cucumber, Sliced Olives (Ripe Olives, Water, Salt, Ferrous Gluconate (to stabilize color).), Red Onion, Balsamic Vinaigrette ( Water, Soybean Oil, Imported Balsamic Vinegar (wine vinegar, grape must), White Wine Vinegar, Distilled Vinegar, Sugar, Contains less than 2% of Salt, Mustard Seed, Spice, Garlic*, Onion*, Xanthan Gum, Caramel Color, Autolyzed Yeast Extract, Natural and Artificial Flavor, Calcium Disodium EDTA (preservative), Disodium Inosinate, Disodium Guanylate. *Dried.), Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.))",16085317,2018-10-13T00:00:00-07:00,Fattoush Greek Salad,6.50,6.9,0.9,1 EA,606.6,40/40/20,8,DINNER,31.9,85,0
2,"Milk, Eggs, Fish, Wheat, Soybeans, Gluten",731,,89.8,0,89.8,"Romaine Hearts, Blackened Chicken (Halal Chicken Breast, Blackened Seasoning (Paprika, Onion Powder, Garlic Powder, Cayenne Pepper, Whole Leaf Thyme, Salt, Basil, Oregano, White Pepper), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Jalapeno Caesar Dressing (Caesar Dressing (Soybean Oil, Water, Egg Yolk, Lemon Juice Concentrate, Salt, White Wine & Distilled Vinegars, Spices (including mustard seed), Parmesan Cheese (part-skim milk, cheese culture, salt, enzymes), Dried Garlic, Sodium Benzoate & Potassium Sorbate (preservatives), Dried Onion, Extra Virgin Olive Oil, Xanthan Gum, Natural Flavors, Propylene Glycol Alginate, Molasses, Corn Syrup, Caramel Color, Sugar, Tamarind, Calcium Disodium EDTA (protect flavor), Anchovies.), Jalapenos, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Tomatoes, Kale, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Pepitas Seeds",16085318,2018-10-13T00:00:00-07:00,Jalapeno Kale Caesar,6.50,40,11.6,1 EA,1274.6,40/40/20,8.1,DINNER,29.3,469,0
3,"Milk, Wheat, Gluten",407,,0.4,0,0.4,"Romaine Lettuce, Broccoli, Cauliflower, Roasted Butternut Squash (Butternut Squash, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, White Pepper), Pomegranate Vinaigrette (Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), BV POM Pomegranate Juice 24 Oz, Agave (100% pure organic agave nectar), Red Wine Vinegar (Red Wine Vinegar, Water, Potassium Metabisulfite.), Blueberries, Salt, Dijon Mustard (Black Mustard Seeds, Water, Vinegar, White Wine, Salt, Sulfites.), White Pepper), Red Onion, Organic Garbanzo Beans (Water, organic garbanzo beans, sea salt), Zucchini, Squash, Spinach, Kale, Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.))",16085319,2018-10-13T00:00:00-07:00,Power House,6.50,11.7,2.1,1 EA,549.9,40/40/20,7.4,DINNER,39.6,239,0
4,"Milk, Wheat, Soybeans, Gluten",476,,45.2,0,45.2,"Iceberg Lettuce, Spicy Thai Dressing (Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Agave (100% pure organic agave nectar), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Green Onions, Garlic, Ginger, Salt, Lemon, White Pepper), Blackened Chicken (Halal Chicken Breast, Blackened Seasoning (Paprika, Onion Powder, Garlic Powder, Cayenne Pepper, Whole Leaf Thyme, Salt, Basil, Oregano, White Pepper), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Mini Sweet Peppers, Cucumber, Mandarin Oranges (Mandarin Oranges, Water, Sugar, Citric Acid.), Edamame, Carrots, Bean Sprouts, Tomatoes, Spring Mix, Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.))",16085320,2018-10-13T00:00:00-07:00,Spicy Thai Salad,6.50,25.4,2.4,1 EA,502.4,40/40/20,14.3,DINNER,36.9,243,0
5,"Milk, Wheat, Soybeans, Gluten",599,,6.9,0,6.9,"Spinach, Pomegranate Vinaigrette (Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), BV POM Pomegranate Juice 24 Oz, Agave (100% pure organic agave nectar), Red Wine Vinegar (Red Wine Vinegar, Water, Potassium Metabisulfite.), Blueberries, Salt, Dijon Mustard (Black Mustard Seeds, Water, Vinegar, White Wine, Salt, Sulfites.), White Pepper), Spinach, Mandarin Oranges (Mandarin Oranges, Water, Sugar, Citric Acid.), Strawberry, Edamame, Red Onion, Fire Roasted Sesame Cracker (Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Sesame Seeds, Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Fair Trade Organic Sugar Cane, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Gouda Cheese (Gouda Cheese (milk, cheese cultures, enzymes, salt), Water, Sodium Phosphate, Potassium Sorbate (preservative), Apo-Carotenal (color).)",16085321,2018-10-13T00:00:00-07:00,Strawberry Spinach,6.50,14,4.4,1 EA,445.4,40/40/20,15.9,DINNER,36.7,437,0
6,"Milk, Wheat, Gluten",1055,,58.5,0,58.5,"Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Cauliflower White (Water, Cauliflower, Garlic, Heavy Cream (Milk, Carrageenan, Mono- and Diglycerides, Polysorbate 80), Salt, White Pepper, Thyme), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Artichoke (Quartered Artichoke Heats, Salt, Water, Citric Acid.), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Spinach, Pizza Garnish (Endive Frisee, Arugula, Lemon, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper), Tomatoes",16085280,2018-10-13T00:00:00-07:00,Artichoke & Spinach,8.50,43.7,15.5,1 ROUND,1368,Scholars Pizza,1.9,LUNCH,106.2,470,0
7,"Milk, Eggs, Wheat, Gluten",1104,,144.1,0,144.1,"Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Roasted Chimichurri Beef (Ground Beef, Chimichurri Sauce (Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Garlic, Red Wine Vinegar (Red Wine Vinegar, Water, Potassium Metabisulfite.), Parsley, Red Onion, Lemon, Oregano, Salt, Black Pepper), Salt, White Pepper), Spicy Sriracha Marinara (Pizza Sauce (Tomato Puree (Water, Tomato Paste), Less Than 2% of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid.), Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.), Garlic, Basil, Oregano), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Roasted Chicken Sausage Meatball (Halal Ground Chicken, Cage Free Eggs, Ras El Hanout Spice Rub (All Spice, Ground Ginger, Turmeric, Salt, Cayenne Pepper, Ground Nutmeg, White Pepper, Ground Cloves), Garlic, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Thyme, Parsley, Oregano, Red Pepper, Salt, White Pepper), Mini Sweet Peppers, Red Onion, Blackened Chicken (Halal Chicken Breast, Blackened Seasoning (Paprika, Onion Powder, Garlic Powder, Cayenne Pepper, Whole Leaf Thyme, Salt, Basil, Oregano, White Pepper), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Sliced Mushroom, Pizza Garnish (Endive Frisee, Arugula, Lemon, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper)",16085281,2018-10-13T00:00:00-07:00,Cattleman,10.50,69.7,14.7,1 ROUND,1849.6,Scholars Pizza,9.4,LUNCH,119.6,348,0.5
8,"Milk, Wheat, Gluten",777,,45.9,0,45.9,"Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Spicy Sriracha Marinara (Pizza Sauce (Tomato Puree (Water, Tomato Paste), Less Than 2% of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid.), Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.), Garlic, Basil, Oregano), Pizza Garnish (Endive Frisee, Arugula, Lemon, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper)",16085282,2018-10-13T00:00:00-07:00,Cheese Pizza,6.00,38.7,9.3,1 ROUND,1230.1,Scholars Pizza,5.8,LUNCH,108.2,194,0
9,"Milk, Wheat, Gluten",1053,,100.3,0,100.3,"Napoletana Caputo Dough (Caputo Pizza Flour (Wheat flour), Water, Master Poolish (Water, Caputo Pizza Flour (Wheat flour), Active Dry Yeast (Yeast, Sorbitan, Monosterate)), Diastatic Barley Powder Light, Active Dry Yeast (Yeast, Sorbitan, Monosterate), Salt), Blackened Chicken (Halal Chicken Breast, Blackened Seasoning (Paprika, Onion Powder, Garlic Powder, Cayenne Pepper, Whole Leaf Thyme, Salt, Basil, Oregano, White Pepper), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Spicy Sriracha Marinara (Pizza Sauce (Tomato Puree (Water, Tomato Paste), Less Than 2% of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid.), Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.), Garlic, Basil, Oregano), Part Skim Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (pasteurized milk, skim milk, salt, cultures, enzymes), Powdered Cellulose (prevent caking), Natamycin (preservative).), Parmesan Cheese (Parmesan cheese (cultured pasteurized part skim milk, salt, enzymes), powdered cellulose to prevent caking, potassium Sorbate to protect flavor.), Artichoke (Quartered Artichoke Heats, Salt, Water, Citric Acid.), Pizza Garnish (Endive Frisee, Arugula, Lemon, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Tomatoes",16085283,2018-10-13T00:00:00-07:00,Chicken Artichoke,8.50,59.8,13.7,1 ROUND,1623.7,Scholars Pizza,6.3,LUNCH,113.7,366,0
